Order_ID,Latitude,Longitude,Weight_kg
ORD_090,21.0240543880259,105.763496366544,0.64
ORD_091,20.9676350793501,105.739696442849,1.4
ORD_092,21.0626191659557,105.868354521273,1.72
ORD_093,21.0702256077787,105.868866889146,1.4
ORD_094,21.0383043516111,105.826096233164,1.42
ORD_095,21.0718547487927,105.779044766568,1.56
ORD_096,21.0275072954183,105.780673531938,1.4
ORD_097,21.0321372527011,105.840952908619,1.4
ORD_098,21.0169065629374,105.868337641592,1.92
ORD_099,20.9525670602791,105.866733827882,1.46
ORD_100,20.9657626283189,105.849580087337,1.6
ORD_012,21.1036855763459,105.750595405961,0.46
ORD_013,21.0816908225281,105.873551624375,0.44
ORD_014,20.9824742577085,105.85409926073,0.62
ORD_015,20.9775919947531,105.826144601042,0.4
ORD_016,20.9778447215766,105.86423369443,0.64
ORD_017,20.9971787588735,105.853387532304,0.6
ORD_018,21.0324610290612,105.754651209422,0.6
ORD_019,21.0176112029827,105.867609439758,0.6
ORD_020,20.9950966624317,105.811094758707,0.6
ORD_021,21.0463964631556,105.853990424826,0.6
ORD_022,20.9708190177043,105.868174607988,0.46
ORD_023,20.9952431437656,105.775680555995,0.46
ORD_024,21.007117894927,105.742408307924,0.62
ORD_025,21.0214711974747,105.761269626007,0.62
ORD_026,21.0741281538229,105.79313724618,0.46
ORD_027,20.9804478051453,105.855682362548,0.48
ORD_028,21.0307775101462,105.862516893321,0.6
ORD_029,21.0432863310179,105.725912340885,0.46
ORD_030,20.9559320660352,105.806519568412,0.46
ORD_031,21.0457071763042,105.791585760504,0.46
ORD_032,20.97578385979,105.760337249675,0.46
ORD_033,20.9589082548776,105.743978458773,0.46
ORD_034,21.1003216859605,105.778818427425,0.46
ORD_035,21.1030011252919,105.875665552626,0.46
ORD_036,21.0778435756986,105.776512469123,0.46
ORD_037,20.9972382030677,105.807806499479,0.46
ORD_038,20.964127538241,105.837283033423,0.62
ORD_039,21.0579772842419,105.782980736381,0.52
ORD_040,21.0189243989983,105.880285133235,0.66
ORD_041,20.9680261175752,105.878791567191,0.66
ORD_042,21.0277283056178,105.765085167332,0.66
ORD_043,20.9540021633784,105.804359760943,0.52
ORD_044,21.0939912643326,105.772940529571,0.52
ORD_045,20.989904797056,105.7703744791,0.64
ORD_046,21.0545035654966,105.730701911577,0.58
ORD_047,20.9983737721743,105.822330293437,0.64
ORD_048,21.0317108833885,105.805228643717,0.64
ORD_049,21.0359736446949,105.7330366002,0.5
ORD_050,20.9780767128841,105.769383434278,0.58
ORD_051,21.1036335404423,105.870122541755,0.48
ORD_052,21.0725212517378,105.763129902507,0.46
ORD_053,21.0988198306503,105.747983179535,0.64
ORD_054,21.0916723760684,105.803112441644,0.44
ORD_055,21.0441639966098,105.882504072658,0.44
ORD_056,21.0959998776037,105.763528843442,0.6
ORD_057,20.9626588003283,105.832341687585,0.6
ORD_058,20.9798572579871,105.846659138453,0.6
ORD_059,20.9557363662257,105.762822007039,0.6
ORD_060,21.0005528529221,105.841314615778,0.6
ORD_061,21.0106883663503,105.783645301235,0.7
ORD_062,20.9919158450838,105.825968932895,0.6
ORD_063,21.0810980014643,105.826164753722,0.6
ORD_064,21.005580532271,105.810523949452,0.6
ORD_065,20.99344952155,105.739246363209,0.84
ORD_066,21.0353313733053,105.858448399294,0.56
ORD_067,20.971047875996,105.776124810395,0.64
ORD_068,21.0768515169206,105.754642961664,0.62
ORD_069,20.9604281029888,105.731324022649,0.62
ORD_070,21.1064019098561,105.81934287091,0.48
ORD_071,21.0720591630875,105.833210297895,0.48
ORD_072,20.9802945090455,105.727454052628,0.6
ORD_073,20.9493835387398,105.806734889328,0.6
ORD_074,21.0789738285528,105.761039324032,0.6
ORD_075,21.0615971750156,105.828027646466,0.6
ORD_076,21.0651411468866,105.752698628641,0.52
ORD_077,21.0719032554698,105.835350038096,0.52
ORD_078,20.9603471442775,105.786677655408,0.52
ORD_079,21.0058545165671,105.874676798198,0.52
ORD_080,20.967039049524,105.746803351063,0.52
ORD_081,21.0865965481401,105.779370616168,0.52
ORD_082,21.0482277002924,105.742955763399,0.52
ORD_083,21.0014436839764,105.872750978925,0.52
ORD_084,20.9586693360458,105.865174296541,0.76
ORD_085,20.9982571714745,105.766070660434,0.52
ORD_086,21.0005293315243,105.830397447365,0.48
ORD_087,21.0652369885341,105.855555552032,0.48
ORD_088,21.0505091954168,105.813632129856,0.48
ORD_089,21.0904540388122,105.809544092537,0.48
ORD_090,21.0240543880259,105.763496366544,0.64
ORD_091,20.9676350793501,105.739696442849,1.4
ORD_092,21.0626191659557,105.868354521273,1.72
ORD_093,21.0702256077787,105.868866889146,1.4
ORD_094,21.0383043516111,105.826096233164,1.42
ORD_095,21.0718547487927,105.779044766568,1.56
ORD_096,21.0275072954183,105.780673531938,1.4
ORD_097,21.0321372527011,105.840952908619,1.4
ORD_098,21.0169065629374,105.868337641592,1.92
ORD_099,20.9525670602791,105.866733827882,1.46
ORD_100,20.9657626283189,105.849580087337,1.6
ORD_013,21.0816908225281,105.873551624375,0.44
ORD_014,20.9824742577085,105.85409926073,0.62
ORD_015,20.9775919947531,105.826144601042,0.4
ORD_016,20.9778447215766,105.86423369443,0.64
ORD_017,20.9971787588735,105.853387532304,0.6
ORD_018,21.0324610290612,105.754651209422,0.6
ORD_019,21.0176112029827,105.867609439758,0.6
ORD_020,20.9950966624317,105.811094758707,0.6
ORD_021,21.0463964631556,105.853990424826,0.6
ORD_022,20.9708190177043,105.868174607988,0.46
ORD_023,20.9952431437656,105.775680555995,0.46
ORD_024,21.007117894927,105.742408307924,0.62
ORD_025,21.0214711974747,105.761269626007,0.62
ORD_026,21.0741281538229,105.79313724618,0.46
ORD_027,20.9804478051453,105.855682362548,0.48
ORD_028,21.0307775101462,105.862516893321,0.6
ORD_029,21.0432863310179,105.725912340885,0.46
ORD_030,20.9559320660352,105.806519568412,0.46
ORD_031,21.0457071763042,105.791585760504,0.46
ORD_032,20.97578385979,105.760337249675,0.46
ORD_033,20.9589082548776,105.743978458773,0.46
ORD_034,21.1003216859605,105.778818427425,0.46
ORD_035,21.1030011252919,105.875665552626,0.46
ORD_036,21.0778435756986,105.776512469123,0.46
ORD_037,20.9972382030677,105.807806499479,0.46
ORD_038,20.964127538241,105.837283033423,0.62
ORD_039,21.0579772842419,105.782980736381,0.52
ORD_040,21.0189243989983,105.880285133235,0.66
ORD_041,20.9680261175752,105.878791567191,0.66
ORD_042,21.0277283056178,105.765085167332,0.66
ORD_043,20.9540021633784,105.804359760943,0.52
ORD_044,21.0939912643326,105.772940529571,0.52
ORD_045,20.989904797056,105.7703744791,0.64
ORD_046,21.0545035654966,105.730701911577,0.58
ORD_047,20.9983737721743,105.822330293437,0.64
ORD_048,21.0317108833885,105.805228643717,0.64
ORD_049,21.0359736446949,105.7330366002,0.5
ORD_050,20.9780767128841,105.769383434278,0.58
ORD_051,21.1036335404423,105.870122541755,0.48
ORD_052,21.0725212517378,105.763129902507,0.46
ORD_053,21.0988198306503,105.747983179535,0.64
ORD_054,21.0916723760684,105.803112441644,0.44
ORD_055,21.0441639966098,105.882504072658,0.44
ORD_056,21.0959998776037,105.763528843442,0.6
ORD_057,20.9626588003283,105.832341687585,0.6
ORD_058,20.9798572579871,105.846659138453,0.6
ORD_059,20.9557363662257,105.762822007039,0.6
ORD_060,21.0005528529221,105.841314615778,0.6
ORD_061,21.0106883663503,105.783645301235,0.7
ORD_062,20.9919158450838,105.825968932895,0.6
ORD_063,21.0810980014643,105.826164753722,0.6
ORD_064,21.005580532271,105.810523949452,0.6
ORD_065,20.99344952155,105.739246363209,0.84
ORD_066,21.0353313733053,105.858448399294,0.56
ORD_067,20.971047875996,105.776124810395,0.64
ORD_068,21.0768515169206,105.754642961664,0.62
ORD_069,20.9604281029888,105.731324022649,0.62
ORD_070,21.1064019098561,105.81934287091,0.48
ORD_071,21.0720591630875,105.833210297895,0.48
ORD_072,20.9802945090455,105.727454052628,0.6
ORD_073,20.9493835387398,105.806734889328,0.6
ORD_074,21.0789738285528,105.761039324032,0.6
ORD_075,21.0615971750156,105.828027646466,0.6
ORD_076,21.0651411468866,105.752698628641,0.52
ORD_077,21.0719032554698,105.835350038096,0.52
ORD_078,20.9603471442775,105.786677655408,0.52
ORD_079,21.0058545165671,105.874676798198,0.52
ORD_080,20.967039049524,105.746803351063,0.52
ORD_081,21.0865965481401,105.779370616168,0.52
ORD_082,21.0482277002924,105.742955763399,0.52
ORD_083,21.0014436839764,105.872750978925,0.52
ORD_084,20.9586693360458,105.865174296541,0.76
ORD_085,20.9982571714745,105.766070660434,0.52
ORD_086,21.0005293315243,105.830397447365,0.48
ORD_087,21.0652369885341,105.855555552032,0.48
ORD_088,21.0505091954168,105.813632129856,0.48
ORD_089,21.0904540388122,105.809544092537,0.48
ORD_090,21.0240543880259,105.763496366544,0.64
ORD_091,20.9676350793501,105.739696442849,1.4
ORD_092,21.0626191659557,105.868354521273,1.72
ORD_093,21.0702256077787,105.868866889146,1.4
ORD_094,21.0383043516111,105.826096233164,1.42
ORD_095,21.0718547487927,105.779044766568,1.56
ORD_096,21.0275072954183,105.780673531938,1.4
ORD_097,21.0321372527011,105.840952908619,1.4
ORD_098,21.0169065629374,105.868337641592,1.92
ORD_099,20.9525670602791,105.866733827882,1.46
ORD_100,20.9657626283189,105.849580087337,1.6
ORD_013,21.0816908225281,105.873551624375,0.44
ORD_014,20.9824742577085,105.85409926073,0.62
ORD_015,20.9775919947531,105.826144601042,0.4
ORD_016,20.9778447215766,105.86423369443,0.64
ORD_017,20.9971787588735,105.853387532304,0.6
ORD_018,21.0324610290612,105.754651209422,0.6
ORD_019,21.0176112029827,105.867609439758,0.6
ORD_020,20.9950966624317,105.811094758707,0.6
ORD_021,21.0463964631556,105.853990424826,0.6
ORD_022,20.9708190177043,105.868174607988,0.46
ORD_023,20.9952431437656,105.775680555995,0.46
ORD_024,21.007117894927,105.742408307924,0.62
ORD_025,21.0214711974747,105.761269626007,0.62
ORD_026,21.0741281538229,105.79313724618,0.46
ORD_027,20.9804478051453,105.855682362548,0.48
ORD_028,21.0307775101462,105.862516893321,0.6
ORD_029,21.0432863310179,105.725912340885,0.46
ORD_030,20.9559320660352,105.806519568412,0.46
ORD_031,21.0457071763042,105.791585760504,0.46
ORD_032,20.97578385979,105.760337249675,0.46
ORD_033,20.9589082548776,105.743978458773,0.46
ORD_034,21.1003216859605,105.778818427425,0.46
ORD_035,21.1030011252919,105.875665552626,0.46
ORD_036,21.0778435756986,105.776512469123,0.46
ORD_037,20.9972382030677,105.807806499479,0.46
